"var","ind","year","value"
"PKPY","D02",2012,50742.2558230667
"IKPY","D02",2012,16876.668678224
"GKPY","D02",2012,6355.11135743769
"CNPY","D02",2012,54126.4788758165
"EMPN","D02",2012,629000
"INTI","D02",2013,17300
"PROD","D02",2013,51800
"VALU","D02",2013,34600
"EMPE","D02",2013,560000
"FTEE","D02",2013,485000
"FTEN","D02",2013,568000
"LABR","D02",2013,20141
"WAGE","D02",2013,15881000
"CAPN","D02",2013,57400
"GFCF","D02",2013,7100
"VKPY","D02",2013,34225.7923653739
"PKPY","D02",2013,51243.7735849057
"IKPY","D02",2013,17118.4546482696
"GKPY","D02",2013,7023.42300370302
"CNPY","D02",2013,56439.1863147219
"EMPN","D02",2013,643000
"INTI","D05T09",1997,79100
"PROD","D05T09",1997,174200
"VALU","D05T09",1997,95100
"CAPN","D05T09",1997,518900
"GFCF","D05T09",1997,41000
"EMPN","D05T09",1997,0
"INTI","D05T09",1998,67700
"PROD","D05T09",1998,149100
"VALU","D05T09",1998,81400
"EMPE","D05T09",1998,570000
"FTEE","D05T09",1998,558000
"FTEN","D05T09",1998,568000
"LABR","D05T09",1998,35866
"WAGE","D05T09",1998,29527000
"CAPN","D05T09",1998,534100
"GFCF","D05T09",1998,41700
"VKPY","D05T09",1998,99874.3001140418
"PKPY","D05T09",1998,172261.889496511
"IKPY","D05T09",1998,72854.9732884343
"GKPY","D05T09",1998,38961.7739910996
"CNPY","D05T09",1998,517385.277213822
"EMPN","D05T09",1998,580000
"INTI","D05T09",1999,69700
"PROD","D05T09",1999,153900
"VALU","D05T09",1999,84300
"EMPE","D05T09",1999,531000
"FTEE","D05T09",1999,520000
"FTEN","D05T09",1999,529000
"LABR","D05T09",1999,34789
"WAGE","D05T09",1999,28626000
"CAPN","D05T09",1999,528100
"GFCF","D05T09",1999,37600
"VKPY","D05T09",1999,77701.7713064699
"PKPY","D05T09",1999,143343.999491482
"IKPY","D05T09",1999,65648.6822302094
"GKPY","D05T09",1999,40316.8988152418
"CNPY","D05T09",1999,529138.498085378
"EMPN","D05T09",1999,540000
"INTI","D05T09",2000,105800
